"rxnID"	"source"	"panID_RAVEN_kegg"	"panID_RAVEN_biocyc"	"panID_inter"	"panID_union"
"MNXR95786"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_3536"	"yHMPu5000035679_Candida_rhagii@Seq_3536"	"yHMPu5000035679_Candida_rhagii@Seq_3536"	"yHMPu5000035679_Candida_rhagii@Seq_3536"
"MNXR106335"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_4803 or yHMPu5000035679_Candida_rhagii@Seq_5312"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_4803;yHMPu5000035679_Candida_rhagii@Seq_5312"
"MNXR96455"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_3475 or yHMPu5000035679_Candida_rhagii@Seq_1625"	"yHMPu5000035679_Candida_rhagii@Seq_1625 or yHMPu5000035679_Candida_rhagii@Seq_3475"	"yHMPu5000035679_Candida_rhagii@Seq_3475;yHMPu5000035679_Candida_rhagii@Seq_1625"	"yHMPu5000035679_Candida_rhagii@Seq_3475;yHMPu5000035679_Candida_rhagii@Seq_1625"
"MNXR95163"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_503"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_503"
"MNXR102428"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_2046 or yHMPu5000035679_Candida_rhagii@Seq_3363 or yHMPu5000035679_Candida_rhagii@Seq_4782 or yHMPu5000035679_Candida_rhagii@Seq_1799 or yHMPu5000035679_Candida_rhagii@Seq_2557 or yHMPu5000035679_Candida_rhagii@Seq_4803 or yHMPu5000035679_Candida_rhagii@Seq_5312"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_2046;yHMPu5000035679_Candida_rhagii@Seq_3363;yHMPu5000035679_Candida_rhagii@Seq_4782;yHMPu5000035679_Candida_rhagii@Seq_1799;yHMPu5000035679_Candida_rhagii@Seq_2557;yHMPu5000035679_Candida_rhagii@Seq_4803;yHMPu5000035679_Candida_rhagii@Seq_5312"
"MNXR100245"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_171"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_171"
"MNXR95628"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_3863 or yHMPu5000035679_Candida_rhagii@Seq_2999"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_3863;yHMPu5000035679_Candida_rhagii@Seq_2999"
"MNXR106342"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_795"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_795"
"MNXR106343"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_69 or yHMPu5000035679_Candida_rhagii@Seq_1937 or yHMPu5000035679_Candida_rhagii@Seq_2442"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_69;yHMPu5000035679_Candida_rhagii@Seq_1937;yHMPu5000035679_Candida_rhagii@Seq_2442"
"MNXR101350"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_1502"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_1502"
"MNXR103095"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_4873"	"yHMPu5000035679_Candida_rhagii@Seq_4873"	"yHMPu5000035679_Candida_rhagii@Seq_4873"	"yHMPu5000035679_Candida_rhagii@Seq_4873"
"MNXR103430"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_1654"	"yHMPu5000035679_Candida_rhagii@Seq_1654"	"yHMPu5000035679_Candida_rhagii@Seq_1654"	"yHMPu5000035679_Candida_rhagii@Seq_1654"
"MNXR96043"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_4213 or yHMPu5000035679_Candida_rhagii@Seq_412 or yHMPu5000035679_Candida_rhagii@Seq_4308"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_4213;yHMPu5000035679_Candida_rhagii@Seq_412;yHMPu5000035679_Candida_rhagii@Seq_4308"
"MNXR100658"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_965"	"yHMPu5000035679_Candida_rhagii@Seq_965"	"yHMPu5000035679_Candida_rhagii@Seq_965"	"yHMPu5000035679_Candida_rhagii@Seq_965"
"MNXR96131"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_3770 or yHMPu5000035679_Candida_rhagii@Seq_643 or yHMPu5000035679_Candida_rhagii@Seq_9 or yHMPu5000035679_Candida_rhagii@Seq_3109 or yHMPu5000035679_Candida_rhagii@Seq_3560 or yHMPu5000035679_Candida_rhagii@Seq_5221"	"yHMPu5000035679_Candida_rhagii@Seq_2934"	""	"yHMPu5000035679_Candida_rhagii@Seq_3770;yHMPu5000035679_Candida_rhagii@Seq_643;yHMPu5000035679_Candida_rhagii@Seq_9;yHMPu5000035679_Candida_rhagii@Seq_3109;yHMPu5000035679_Candida_rhagii@Seq_3560;yHMPu5000035679_Candida_rhagii@Seq_5221;yHMPu5000035679_Candida_rhagii@Seq_2934"
"MNXR102054"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_2384"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_2384"
"MNXR95444"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_4788"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_4788"
"MNXR100289"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_171"	"yHMPu5000035679_Candida_rhagii@Seq_171"	"yHMPu5000035679_Candida_rhagii@Seq_171"	"yHMPu5000035679_Candida_rhagii@Seq_171"
"MNXR100097"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_5024"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_5024"
"MNXR106388"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_221 or yHMPu5000035679_Candida_rhagii@Seq_3409 or yHMPu5000035679_Candida_rhagii@Seq_5452 or yHMPu5000035679_Candida_rhagii@Seq_2806"	"yHMPu5000035679_Candida_rhagii@Seq_221 or yHMPu5000035679_Candida_rhagii@Seq_2806 or yHMPu5000035679_Candida_rhagii@Seq_3409 or yHMPu5000035679_Candida_rhagii@Seq_5452"	"yHMPu5000035679_Candida_rhagii@Seq_221;yHMPu5000035679_Candida_rhagii@Seq_3409;yHMPu5000035679_Candida_rhagii@Seq_5452;yHMPu5000035679_Candida_rhagii@Seq_2806"	"yHMPu5000035679_Candida_rhagii@Seq_221;yHMPu5000035679_Candida_rhagii@Seq_3409;yHMPu5000035679_Candida_rhagii@Seq_5452;yHMPu5000035679_Candida_rhagii@Seq_2806"
"MNXR101888"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_262 or yHMPu5000035679_Candida_rhagii@Seq_680 or yHMPu5000035679_Candida_rhagii@Seq_1631"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_262;yHMPu5000035679_Candida_rhagii@Seq_680;yHMPu5000035679_Candida_rhagii@Seq_1631"
"MNXR101861"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_2384 or yHMPu5000035679_Candida_rhagii@Seq_4986"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_2384;yHMPu5000035679_Candida_rhagii@Seq_4986"
"MNXR101882"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2598 or yHMPu5000035679_Candida_rhagii@Seq_29"	"yHMPu5000035679_Candida_rhagii@Seq_29 or yHMPu5000035679_Candida_rhagii@Seq_2598"	"yHMPu5000035679_Candida_rhagii@Seq_2598;yHMPu5000035679_Candida_rhagii@Seq_29"	"yHMPu5000035679_Candida_rhagii@Seq_2598;yHMPu5000035679_Candida_rhagii@Seq_29"
"MNXR106392"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_226 or yHMPu5000035679_Candida_rhagii@Seq_4070"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_226;yHMPu5000035679_Candida_rhagii@Seq_4070"
"MNXR106395"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_226 or yHMPu5000035679_Candida_rhagii@Seq_4070"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_226;yHMPu5000035679_Candida_rhagii@Seq_4070"
"MNXR100291"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_171"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_171"
"MNXR100098"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_5024"	"yHMPu5000035679_Candida_rhagii@Seq_5024"	"yHMPu5000035679_Candida_rhagii@Seq_5024"	"yHMPu5000035679_Candida_rhagii@Seq_5024"
"MNXR96129"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_643 or yHMPu5000035679_Candida_rhagii@Seq_9 or yHMPu5000035679_Candida_rhagii@Seq_3109"	"yHMPu5000035679_Candida_rhagii@Seq_643"	"yHMPu5000035679_Candida_rhagii@Seq_643"	"yHMPu5000035679_Candida_rhagii@Seq_643;yHMPu5000035679_Candida_rhagii@Seq_9;yHMPu5000035679_Candida_rhagii@Seq_3109"
"MNXR95856"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_1422"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_1422"
"MNXR95435"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_46"	"yHMPu5000035679_Candida_rhagii@Seq_46"	"yHMPu5000035679_Candida_rhagii@Seq_46"	"yHMPu5000035679_Candida_rhagii@Seq_46"
"MNXR95450"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2642 or yHMPu5000035679_Candida_rhagii@Seq_5106"	"yHMPu5000035679_Candida_rhagii@Seq_86 or yHMPu5000035679_Candida_rhagii@Seq_2642"	"yHMPu5000035679_Candida_rhagii@Seq_2642"	"yHMPu5000035679_Candida_rhagii@Seq_2642;yHMPu5000035679_Candida_rhagii@Seq_5106;yHMPu5000035679_Candida_rhagii@Seq_86"
"MNXR97762"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_4651"	"yHMPu5000035679_Candida_rhagii@Seq_4651"	"yHMPu5000035679_Candida_rhagii@Seq_4651"	"yHMPu5000035679_Candida_rhagii@Seq_4651"
"MNXR95841"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2874 or yHMPu5000035679_Candida_rhagii@Seq_211"	"yHMPu5000035679_Candida_rhagii@Seq_2874"	"yHMPu5000035679_Candida_rhagii@Seq_2874"	"yHMPu5000035679_Candida_rhagii@Seq_2874;yHMPu5000035679_Candida_rhagii@Seq_211"
"MNXR106405"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_3331"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_3331"
"MNXR96884"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_24 or yHMPu5000035679_Candida_rhagii@Seq_1286"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_24;yHMPu5000035679_Candida_rhagii@Seq_1286"
"MNXR101931"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_643 or yHMPu5000035679_Candida_rhagii@Seq_9 or yHMPu5000035679_Candida_rhagii@Seq_3109"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_643;yHMPu5000035679_Candida_rhagii@Seq_9;yHMPu5000035679_Candida_rhagii@Seq_3109"
"MNXR101935"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_3331"	"yHMPu5000035679_Candida_rhagii@Seq_3331"	"yHMPu5000035679_Candida_rhagii@Seq_3331"	"yHMPu5000035679_Candida_rhagii@Seq_3331"
"MNXR106413"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_2642 or yHMPu5000035679_Candida_rhagii@Seq_86"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_2642;yHMPu5000035679_Candida_rhagii@Seq_86"
"MNXR105118"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2205"	"yHMPu5000035679_Candida_rhagii@Seq_2205"	"yHMPu5000035679_Candida_rhagii@Seq_2205"	"yHMPu5000035679_Candida_rhagii@Seq_2205"
"MNXR101933"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_643 or yHMPu5000035679_Candida_rhagii@Seq_9 or yHMPu5000035679_Candida_rhagii@Seq_3109"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_643;yHMPu5000035679_Candida_rhagii@Seq_9;yHMPu5000035679_Candida_rhagii@Seq_3109"
"MNXR99209"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_2384"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_2384"
"MNXR95501"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_3352"	"yHMPu5000035679_Candida_rhagii@Seq_3352"	"yHMPu5000035679_Candida_rhagii@Seq_3352"	"yHMPu5000035679_Candida_rhagii@Seq_3352"
"MNXR103361"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2436 or yHMPu5000035679_Candida_rhagii@Seq_3158"	"yHMPu5000035679_Candida_rhagii@Seq_2436 or yHMPu5000035679_Candida_rhagii@Seq_3158"	"yHMPu5000035679_Candida_rhagii@Seq_2436;yHMPu5000035679_Candida_rhagii@Seq_3158"	"yHMPu5000035679_Candida_rhagii@Seq_2436;yHMPu5000035679_Candida_rhagii@Seq_3158"
"MNXR101407"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_556"	"yHMPu5000035679_Candida_rhagii@Seq_556"	"yHMPu5000035679_Candida_rhagii@Seq_556"	"yHMPu5000035679_Candida_rhagii@Seq_556"
"MNXR95455"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_1657"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_1657"
"MNXR95824"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_788"	"yHMPu5000035679_Candida_rhagii@Seq_788"	"yHMPu5000035679_Candida_rhagii@Seq_788"	"yHMPu5000035679_Candida_rhagii@Seq_788"
"MNXR102037"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_1045 or yHMPu5000035679_Candida_rhagii@Seq_237"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_1045;yHMPu5000035679_Candida_rhagii@Seq_237"
"MNXR95456"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_1822"	"yHMPu5000035679_Candida_rhagii@Seq_1822"	"yHMPu5000035679_Candida_rhagii@Seq_1822"	"yHMPu5000035679_Candida_rhagii@Seq_1822"
"MNXR96340"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_2384"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_2384"
"MNXR96321"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_3060"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_3060"
"MNXR95482"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_4022"	"yHMPu5000035679_Candida_rhagii@Seq_4022"	"yHMPu5000035679_Candida_rhagii@Seq_4022"	"yHMPu5000035679_Candida_rhagii@Seq_4022"
"MNXR95886"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_2378"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_2378"
"MNXR95492"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_1355"	"yHMPu5000035679_Candida_rhagii@Seq_1355"	"yHMPu5000035679_Candida_rhagii@Seq_1355"	"yHMPu5000035679_Candida_rhagii@Seq_1355"
"MNXR106427"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_170 or yHMPu5000035679_Candida_rhagii@Seq_4205 or yHMPu5000035679_Candida_rhagii@Seq_3777"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_170;yHMPu5000035679_Candida_rhagii@Seq_4205;yHMPu5000035679_Candida_rhagii@Seq_3777"
"MNXR106428"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_4010 or yHMPu5000035679_Candida_rhagii@Seq_4802 or yHMPu5000035679_Candida_rhagii@Seq_721"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_4010;yHMPu5000035679_Candida_rhagii@Seq_4802;yHMPu5000035679_Candida_rhagii@Seq_721"
"MNXR103371"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_3488"	"yHMPu5000035679_Candida_rhagii@Seq_3488"	"yHMPu5000035679_Candida_rhagii@Seq_3488"	"yHMPu5000035679_Candida_rhagii@Seq_3488"
"MNXR102425"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2046 or yHMPu5000035679_Candida_rhagii@Seq_3363 or yHMPu5000035679_Candida_rhagii@Seq_841 or yHMPu5000035679_Candida_rhagii@Seq_2357"	"yHMPu5000035679_Candida_rhagii@Seq_841 or yHMPu5000035679_Candida_rhagii@Seq_2046 or yHMPu5000035679_Candida_rhagii@Seq_2357 or yHMPu5000035679_Candida_rhagii@Seq_3363"	"yHMPu5000035679_Candida_rhagii@Seq_2046;yHMPu5000035679_Candida_rhagii@Seq_3363;yHMPu5000035679_Candida_rhagii@Seq_841;yHMPu5000035679_Candida_rhagii@Seq_2357"	"yHMPu5000035679_Candida_rhagii@Seq_2046;yHMPu5000035679_Candida_rhagii@Seq_3363;yHMPu5000035679_Candida_rhagii@Seq_841;yHMPu5000035679_Candida_rhagii@Seq_2357"
"MNXR101446"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2387"	"yHMPu5000035679_Candida_rhagii@Seq_2387"	"yHMPu5000035679_Candida_rhagii@Seq_2387"	"yHMPu5000035679_Candida_rhagii@Seq_2387"
"MNXR104339"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_4430 or yHMPu5000035679_Candida_rhagii@Seq_4338 or yHMPu5000035679_Candida_rhagii@Seq_727"	"yHMPu5000035679_Candida_rhagii@Seq_4338"	"yHMPu5000035679_Candida_rhagii@Seq_4338"	"yHMPu5000035679_Candida_rhagii@Seq_4430;yHMPu5000035679_Candida_rhagii@Seq_4338;yHMPu5000035679_Candida_rhagii@Seq_727"
"MNXR95271"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_4803 or yHMPu5000035679_Candida_rhagii@Seq_5312"	"yHMPu5000035679_Candida_rhagii@Seq_4803"	"yHMPu5000035679_Candida_rhagii@Seq_4803"	"yHMPu5000035679_Candida_rhagii@Seq_4803;yHMPu5000035679_Candida_rhagii@Seq_5312"
"MNXR95363"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_4499"	"yHMPu5000035679_Candida_rhagii@Seq_4499"	"yHMPu5000035679_Candida_rhagii@Seq_4499"	"yHMPu5000035679_Candida_rhagii@Seq_4499"
"MNXR95413"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_4644 or yHMPu5000035679_Candida_rhagii@Seq_5071"	"yHMPu5000035679_Candida_rhagii@Seq_4644 or yHMPu5000035679_Candida_rhagii@Seq_5071"	"yHMPu5000035679_Candida_rhagii@Seq_4644;yHMPu5000035679_Candida_rhagii@Seq_5071"	"yHMPu5000035679_Candida_rhagii@Seq_4644;yHMPu5000035679_Candida_rhagii@Seq_5071"
"MNXR105304"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_4644 or yHMPu5000035679_Candida_rhagii@Seq_5071"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_4644;yHMPu5000035679_Candida_rhagii@Seq_5071"
"MNXR95194"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_5351"	"yHMPu5000035679_Candida_rhagii@Seq_5351"	"yHMPu5000035679_Candida_rhagii@Seq_5351"	"yHMPu5000035679_Candida_rhagii@Seq_5351"
"MNXR100277"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_1997"	"yHMPu5000035679_Candida_rhagii@Seq_4645"	""	"yHMPu5000035679_Candida_rhagii@Seq_1997;yHMPu5000035679_Candida_rhagii@Seq_4645"
"MNXR100085"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2439"	"yHMPu5000035679_Candida_rhagii@Seq_2439"	"yHMPu5000035679_Candida_rhagii@Seq_2439"	"yHMPu5000035679_Candida_rhagii@Seq_2439"
"MNXR103352"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_442"	"yHMPu5000035679_Candida_rhagii@Seq_442"	"yHMPu5000035679_Candida_rhagii@Seq_442"	"yHMPu5000035679_Candida_rhagii@Seq_442"
"MNXR100086"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_4117 or yHMPu5000035679_Candida_rhagii@Seq_171"	"yHMPu5000035679_Candida_rhagii@Seq_4117"	"yHMPu5000035679_Candida_rhagii@Seq_4117"	"yHMPu5000035679_Candida_rhagii@Seq_4117;yHMPu5000035679_Candida_rhagii@Seq_171"
"MNXR102200"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_3887 or yHMPu5000035679_Candida_rhagii@Seq_1386"	"yHMPu5000035679_Candida_rhagii@Seq_1386 or yHMPu5000035679_Candida_rhagii@Seq_3887 or yHMPu5000035679_Candida_rhagii@Seq_5380"	"yHMPu5000035679_Candida_rhagii@Seq_3887;yHMPu5000035679_Candida_rhagii@Seq_1386"	"yHMPu5000035679_Candida_rhagii@Seq_3887;yHMPu5000035679_Candida_rhagii@Seq_1386;yHMPu5000035679_Candida_rhagii@Seq_5380"
"MNXR100024"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_4758"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_4758"
"MNXR100030"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_24 or yHMPu5000035679_Candida_rhagii@Seq_1286 or yHMPu5000035679_Candida_rhagii@Seq_5432"	"yHMPu5000035679_Candida_rhagii@Seq_1303 or yHMPu5000035679_Candida_rhagii@Seq_2336 or yHMPu5000035679_Candida_rhagii@Seq_5495"	""	"yHMPu5000035679_Candida_rhagii@Seq_24;yHMPu5000035679_Candida_rhagii@Seq_1286;yHMPu5000035679_Candida_rhagii@Seq_5432;yHMPu5000035679_Candida_rhagii@Seq_1303;yHMPu5000035679_Candida_rhagii@Seq_2336;yHMPu5000035679_Candida_rhagii@Seq_5495"
"MNXR97678"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2027"	"yHMPu5000035679_Candida_rhagii@Seq_2027"	"yHMPu5000035679_Candida_rhagii@Seq_2027"	"yHMPu5000035679_Candida_rhagii@Seq_2027"
"MNXR95698"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2090"	"yHMPu5000035679_Candida_rhagii@Seq_2090;yHMPu5000035679_Candida_rhagii@Seq_2090"	""	"yHMPu5000035679_Candida_rhagii@Seq_2090;yHMPu5000035679_Candida_rhagii@Seq_2090;yHMPu5000035679_Candida_rhagii@Seq_2090"
"MNXR95259"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_2729 or yHMPu5000035679_Candida_rhagii@Seq_2295"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_2729;yHMPu5000035679_Candida_rhagii@Seq_2295"
"MNXR95942"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_1487 or yHMPu5000035679_Candida_rhagii@Seq_3512"	"yHMPu5000035679_Candida_rhagii@Seq_1487"	"yHMPu5000035679_Candida_rhagii@Seq_1487"	"yHMPu5000035679_Candida_rhagii@Seq_1487;yHMPu5000035679_Candida_rhagii@Seq_3512"
"MNXR106443"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_1153 or yHMPu5000035679_Candida_rhagii@Seq_2748"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_1153;yHMPu5000035679_Candida_rhagii@Seq_2748"
"MNXR100781"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_1991 or yHMPu5000035679_Candida_rhagii@Seq_1042"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_1991;yHMPu5000035679_Candida_rhagii@Seq_1042"
"MNXR105305"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_1991 or yHMPu5000035679_Candida_rhagii@Seq_1042"	"yHMPu5000035679_Candida_rhagii@Seq_1042 or yHMPu5000035679_Candida_rhagii@Seq_1991"	"yHMPu5000035679_Candida_rhagii@Seq_1991;yHMPu5000035679_Candida_rhagii@Seq_1042"	"yHMPu5000035679_Candida_rhagii@Seq_1991;yHMPu5000035679_Candida_rhagii@Seq_1042"
"MNXR105306"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_1349"	"yHMPu5000035679_Candida_rhagii@Seq_1349"	"yHMPu5000035679_Candida_rhagii@Seq_1349"	"yHMPu5000035679_Candida_rhagii@Seq_1349"
"MNXR106445"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2450 or yHMPu5000035679_Candida_rhagii@Seq_573"	"yHMPu5000035679_Candida_rhagii@Seq_573 or yHMPu5000035679_Candida_rhagii@Seq_2450"	"yHMPu5000035679_Candida_rhagii@Seq_2450;yHMPu5000035679_Candida_rhagii@Seq_573"	"yHMPu5000035679_Candida_rhagii@Seq_2450;yHMPu5000035679_Candida_rhagii@Seq_573"
"MNXR100446"	"RAVEN_kegg"	"yHMPu5000035679_Candida_rhagii@Seq_5321 or yHMPu5000035679_Candida_rhagii@Seq_1577"	NA	""	"yHMPu5000035679_Candida_rhagii@Seq_5321;yHMPu5000035679_Candida_rhagii@Seq_1577"
"MNXR103355"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2978"	"yHMPu5000035679_Candida_rhagii@Seq_2978"	"yHMPu5000035679_Candida_rhagii@Seq_2978"	"yHMPu5000035679_Candida_rhagii@Seq_2978"
"MNXR102438"	"RAVEN_kegg;RAVEN_biocyc"	"yHMPu5000035679_Candida_rhagii@Seq_2978"	"yHMPu5000035679_Candida_rhagii@Seq_2978"	"yHMPu5000035679_Candida_rhagii@Seq_2978"	"yHMPu5000035679_Candida_rhagii@Seq_2978"
